Alsakharovite-Zn,2.600,0.350,6
Alsakharovite-Zn,1.740,0.300,7
Alstonite,3.550,1.000,1
Alstonite,2.507,0.350,2
Alstonite,2.050,0.230,3
Altaite,3.230,1.000,1
Altaite,2.280,0.800,2
Altaite,1.442,0.500,3
Althausite,3.593,1.000,1
Althausite,3.316,0.900,2
Althausite,3.024,0.800,3
Althupite,10.200,1.000,1
Althupite,5.090,0.700,2
Althupite,5.800,0.500,3
Altisite,3.049,1.000,1
Altisite,2.835,0.840,2
Altisite,8.220,0.710,3
Alum-(K),4.298,1.000,1
Alum-(K),3.250,0.550,2
Alum-(K),4.053,0.450,3
Alum-(Na),4.314,1.000,1
Alum-(Na),2.962,0.350,2
Alum-(Na),3.526,0.140,3
Aluminite,8.977,1.000,1
Aluminite,7.791,0.870,2
Aluminite,4.696,0.480,3
Aluminocerite-(Ce),2.914,1.000,1
Aluminocerite-(Ce),2.647,0.580,2
Aluminocerite-(Ce),1.732,0.460,3
Aluminocerite-(Ce),2.198,0.400,4
Aluminocerite-(Ce),1.923,0.340,5
Aluminocerite-(Ce),3.405,0.270,6
Aluminocerite-(Ce),3.250,0.260,7
Aluminocerite-(Ce),1.826,0.240,8
Aluminocopiapite,9.200,1.000,1
Aluminocopiapite,5.580,0.800,2
Aluminocopiapite,18.100,0.800,3
Aluminomagnesiohulsite,2.532,1.000,1
Aluminomagnesiohulsite,2.001,0.540,2
Aluminomagnesiohulsite,2.618,0.500,3
Aluminomagnesiohulsite,5.240,0.490,4
Aluminomagnesiohulsite,4.900,0.320,5
Aluminomagnesiohulsite,2.318,0.300,6
Aluminomagnesiohulsite,10.470,0.290,7
Aluminomagnesiohulsite,1.515,0.280,8
Alumino-magnesiotaramite,2.697,1.000,1
Alumino-magnesiotaramite,8.381,0.920,2
Alumino-magnesiotaramite,3.104,0.690,3
Alumino-magnesiotaramite,2.552,0.600,4
Alumino-magnesiotaramite,3.374,0.560,5
Alumino-magnesiotaramite,2.580,0.530,6
Alumino-magnesiotaramite,2.325,0.410,7
